"B6" "Balance of payments BPM6"
"B6CRSI" "Balance of payments BPM6 > Current account Credits > Secondary income"
"B6CRSI01" "Balance of payments BPM6 > Current account Credits > Secondary income > Total Credits"
"B6CRTD" "Balance of payments BPM6 > Current account Credits > Goods"
"B6CRTD01" "Balance of payments BPM6 > Current account Credits > Goods > Total Credits"
"B6CRTD20" "Balance of payments BPM6 > Current account Credits > Goods > Net exports of goods under merchanting Credits"
"B6CRTD21" "Balance of payments BPM6 > Current account Credits > Goods > Goods acquired under merchanting (negative credits) Credits"
"B6CRTD22" "Balance of payments BPM6 > Current account Credits > Goods > Goods sold under merchanting Credits"
"B6CRTT" "Balance of payments BPM6 > Current account Credits > Total"
"B6CRTT01" "Balance of payments BPM6 > Current account Credits > Total > Total Credits"
"B6DB" "Balance of payments BPM6 > Current account Debits"
"B6DBPI" "Balance of payments BPM6 > Current account Debits > Primary income"
"B6DBPI01" "Balance of payments BPM6 > Current account Debits > Primary income > Total Debits"
"B6DBSE" "Balance of payments BPM6 > Current account Debits > Services"
"B6DBSE01" "Balance of payments BPM6 > Current account Debits > Services > Total Debits"
"B6DBSE02" "Balance of payments BPM6 > Current account Debits > Services > Total Debits as % of Current account"
"B6DBSE03" "Balance of payments BPM6 > Current account Debits > Services > Total Debits as % of Goods and Services"
"B6DBSI" "Balance of payments BPM6 > Current account Debits > Secondary income"
"B6DBSI01" "Balance of payments BPM6 > Current account Debits > Secondary income > Total Debits"
"B6DBTD" "Balance of payments BPM6 > Current account Debits > Goods"
"B6DBTD01" "Balance of payments BPM6 > Current account Debits > Goods > Total Debits"
"B6DBTT" "Balance of payments BPM6 > Current account Debits > Total"
"B6DBTT01" "Balance of payments BPM6 > Current account Debits > Total > Total Debits"
"B6EO" "Balance of payments BPM6 > Net errors and omissions"
"B6EOTT" "Balance of payments BPM6 > Net errors and omissions > Net errors and omissions"
"B6EOTT01" "Balance of payments BPM6 > Net errors and omissions > Net errors and omissions > Net errors and omissions Balance"
"B6FA" "Balance of payments BPM6 > Financial account"
"B6FADI" "Balance of payments BPM6 > Financial account > Direct investment"
"B6FADI01" "Balance of payments BPM6 > Financial account > Direct investment > Direct investment Net"
"B6FADI02" "Balance of payments BPM6 > Financial account > Direct investment > Direct investment Net acquisition of financial assets"
"B6FADI03" "Balance of payments BPM6 > Financial account > Direct investment > Direct investment Net incurrence of liabilities"
"B6FAFD" "Balance of payments BPM6 > Financial account > Financial derivatives"
"B6FAFD01" "Balance of payments BPM6 > Financial account > Financial derivatives > Financial derivatives Net"
"B6FAFD02" "Balance of payments BPM6 > Financial account > Financial derivatives > Financial derivatives Net acquisition of financial assets"
"B6FAFD03" "Balance of payments BPM6 > Financial account > Financial derivatives > Financial derivatives Net inccurence of liabilities"
"B6FAOI" "Balance of payments BPM6 > Financial account > Other investment"
"B6FAOI01" "Balance of payments BPM6 > Financial account > Other investment > Other investment Net"
"B6FAOI02" "Balance of payments BPM6 > Financial account > Other investment > Other investment Net acquisition of financial assets"
"B6FAOI03" "Balance of payments BPM6 > Financial account > Other investment > Other investment Net incurrence of liabilities"
"B6FAPI" "Balance of payments BPM6 > Financial account > Portfolio investment"
"B6FAPI02" "Balance of payments BPM6 > Financial account > Portfolio investment > Portfolio investment Net acquisition of financial assets"
"B6FAPI03" "Balance of payments BPM6 > Financial account > Portfolio investment > Portfolio investment Net incurrence of liabilities"
"B6FAPI10" "Balance of payments BPM6 > Financial account > Portfolio investment > Portfolio investment Net"
"B6FARA" "Balance of payments BPM6 > Financial account > Reserve assets"
"B6FARA01" "Balance of payments BPM6 > Financial account > Reserve assets > Reserve assets Net"
"B6FATC" "Balance of payments BPM6 > Financial account > Financial account Net acquisition of financial assets"
"B6FATC01" "Balance of payments BPM6 > Financial account > Financial account Net acquisition of financial assets > Total"
"B6FATD" "Balance of payments BPM6 > Financial account > Financial account Net incurrence of liabilities"
"B6FATD01" "Balance of payments BPM6 > Financial account > Financial account Net incurrence of liabilities > Total"
"B6FATT" "Balance of payments BPM6 > Financial account > Financial account Net"
"B6FATT01" "Balance of payments BPM6 > Financial account > Financial account Net > Total"
"BC" "Business tendency surveys (construction)"
"BCBU" "Business tendency surveys (construction) > Business situation - Activity"
"BCBUTE" "Business tendency surveys (construction) > Business situation - Activity > Tendency"
"BCBUTE02" "Business tendency surveys (construction) > Business situation - Activity > Tendency > National indicator"
"BCCI" "Business tendency surveys (construction) > Confidence indicators"
"BCCICP" "Business tendency surveys (construction) > Confidence indicators > Composite indicators"
"BCCICP02" "Business tendency surveys (construction) > Confidence indicators > Composite indicators > National indicator"
"BCEM" "Business tendency surveys (construction) > Employment"
"BCEMFT" "Business tendency surveys (construction) > Employment > Future tendency"
"BCEMFT02" "Business tendency surveys (construction) > Employment > Future tendency > National indicator"
"BCOB" "Business tendency surveys (construction) > Order books"
"BCOBLV" "Business tendency surveys (construction) > Order books > Level"
"BCOBLV02" "Business tendency surveys (construction) > Order books > Level > National indicator"
"BCSP" "Business tendency surveys (construction) > Selling prices"
"BCSPFT" "Business tendency surveys (construction) > Selling prices > Future tendency"
"BCSPFT02" "Business tendency surveys (construction) > Selling prices > Future tendency > National indicator"
"BN" "Business tendency surveys (non-manufacturing)"
"BNBU" "Business tendency surveys (non-manufacturing) > Business situation"
"BNBUCT" "Business tendency surveys (non-manufacturing) > Business situation > Current"
"BNBUCT02" "Business tendency surveys (non-manufacturing) > Business situation > Current > National indicator"
"BNBUFT" "Business tendency surveys (non-manufacturing) > Business situation > Future tendency"
"BNBUFT02" "Business tendency surveys (non-manufacturing) > Business situation > Future tendency > National indicator"
"BNEM" "Business tendency surveys (non-manufacturing) > Employment"
"BNEMFT" "Business tendency surveys (non-manufacturing) > Employment > Future Tendency"
"BNEMFT02" "Business tendency surveys (non-manufacturing) > Employment > Future Tendency > National indicator"
"BNEMTE" "Business tendency surveys (non-manufacturing) > Employment > Tendency"
"BNEMTE02" "Business tendency surveys (non-manufacturing) > Employment > Tendency > National indicator"
"BNOD" "Business tendency surveys (non-manufacturing) > Orders intentions or demand"
"BNODTE" "Business tendency surveys (non-manufacturing) > Orders intentions or demand > Tendency"
"BNODTE02" "Business tendency surveys (non-manufacturing) > Orders intentions or demand > Tendency > National indicator"
"BNRM" "Business tendency surveys (non-manufacturing) > Raw Material Stocks"
"BNRMTE" "Business tendency surveys (non-manufacturing) > Raw Material Stocks > Tendency"
"BNRMTE02" "Business tendency surveys (non-manufacturing) > Raw Material Stocks > Tendency > National indicator"
"BR" "Business tendency surveys (retail trade)"
"BRBU" "Business tendency surveys (retail trade) > Business situation - Activity"
"BRBUFT" "Business tendency surveys (retail trade) > Business situation - Activity > Future tendency"
"BRBUFT02" "Business tendency surveys (retail trade) > Business situation - Activity > Future tendency > National indicator"
"BRBUTE" "Business tendency surveys (retail trade) > Business situation - Activity > Tendency"
"BRBUTE02" "Business tendency surveys (retail trade) > Business situation - Activity > Tendency > National indicator"
"BRCI" "Business tendency surveys (retail trade) > Confidence indicators"
"BRCICP" "Business tendency surveys (retail trade) > Confidence indicators > Composite indicators"
"BRCICP02" "Business tendency surveys (retail trade) > Confidence indicators > Composite indicators > National indicator"
"BREM" "Business tendency surveys (retail trade) > Employment"
"BREMFT" "Business tendency surveys (retail trade) > Employment > Future tendency"
"BREMFT02" "Business tendency surveys (retail trade) > Employment > Future tendency > National indicator"
"BROD" "Business tendency surveys (retail trade) > Order intentions or Demand"
"BRODFT" "Business tendency surveys (retail trade) > Order intentions or Demand > Future tendency"
"BRODFT02" "Business tendency surveys (retail trade) > Order intentions or Demand > Future tendency > National indicator"
"BRVS" "Business tendency surveys (retail trade) > Volume of stocks"
"BRVSLV" "Business tendency surveys (retail trade) > Volume of stocks > Level"
"BRVSLV02" "Business tendency surveys (retail trade) > Volume of stocks > Level > National indicator"
"BS" "Business tendency surveys (manufacturing)"
"BSBU" "Business tendency surveys (manufacturing) > Business situation"
"BSBUCT" "Business tendency surveys (manufacturing) > Business situation > Current"
"BSBUCT02" "Business tendency surveys (manufacturing) > Business situation > Current > National indicator"
"BSBUFT" "Business tendency surveys (manufacturing) > Business situation > Future tendency"
"BSBUFT02" "Business tendency surveys (manufacturing) > Business situation > Future tendency > National indicator"
"BSCI" "Business tendency surveys (manufacturing) > Confidence indicators"
"BSCICP" "Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators"
"BSCICP02" "Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators > National indicator"
"BSCICP03" "Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators > OECD Indicator"
"BSCU" "Business tendency surveys (manufacturing) > Capacity utilisation"
"BSCURT" "Business tendency surveys (manufacturing) > Capacity utilisation > Rate of capacity utilisation"
"BSCURT02" "Business tendency surveys (manufacturing) > Capacity utilisation > Rate of capacity utilisation > National indicator"
"BSEM" "Business tendency surveys (manufacturing) > Employment"
"BSEMFT" "Business tendency surveys (manufacturing) > Employment > Future Tendency"
"BSEMFT02" "Business tendency surveys (manufacturing) > Employment > Future Tendency > National indicator"
"BSFG" "Business tendency surveys (manufacturing) > Finished goods stocks"
"BSFGLV" "Business tendency surveys (manufacturing) > Finished goods stocks > Level"
"BSFGLV02" "Business tendency surveys (manufacturing) > Finished goods stocks > Level > National indicator"
"BSOB" "Business tendency surveys (manufacturing) > Order books"
"BSOBLV" "Business tendency surveys (manufacturing) > Order books > Level"
"BSOBLV02" "Business tendency surveys (manufacturing) > Order books > Level > National indicator"
"BSOI" "Business tendency surveys (manufacturing) > Orders inflow"
"BSOITE" "Business tendency surveys (manufacturing) > Orders inflow > Tendency"
"BSOITE02" "Business tendency surveys (manufacturing) > Orders inflow > Tendency > National indicator"
"BSPR" "Business tendency surveys (manufacturing) > Production"
"BSPRFT" "Business tendency surveys (manufacturing) > Production > Future Tendency"
"BSPRFT02" "Business tendency surveys (manufacturing) > Production > Future Tendency > National indicator"
"BSPRTE" "Business tendency surveys (manufacturing) > Production > Tendency"
"BSPRTE02" "Business tendency surveys (manufacturing) > Production > Tendency > National indicator"
"BSSP" "Business tendency surveys (manufacturing) > Selling prices"
"BSSPFT" "Business tendency surveys (manufacturing) > Selling prices > Future tendency"
"BSSPFT02" "Business tendency surveys (manufacturing) > Selling prices > Future tendency > National indicator"
"BSXR" "Business tendency surveys (manufacturing) > Export order books or demand"
"BSXRLV" "Business tendency surveys (manufacturing) > Export order books or demand > Level"
"BSXRLV02" "Business tendency surveys (manufacturing) > Export order books or demand > Level > National indicator"
"BV" "Business tendency surveys (services)"
"BVBU" "Business tendency surveys (services) > Business situation - Activity"
"BVBUTE" "Business tendency surveys (services) > Business situation - Activity > Tendency"
"BVBUTE02" "Business tendency surveys (services) > Business situation - Activity > Tendency > National indicator"
"BVCI" "Business tendency surveys (services) > Confidence Indicators"
"BVCICP" "Business tendency surveys (services) > Confidence Indicators > Composite Indicators"
"BVCICP02" "Business tendency surveys (services) > Confidence Indicators > Composite Indicators > National indicator"
"BVDE" "Business tendency surveys (services) > Demand evolution"
"BVDEFT" "Business tendency surveys (services) > Demand evolution > Future tendency"
"BVDEFT02" "Business tendency surveys (services) > Demand evolution > Future tendency > National indicator"
"BVDETE" "Business tendency surveys (services) > Demand evolution > Tendency"
"BVDETE02" "Business tendency surveys (services) > Demand evolution > Tendency > National indicator"
"BVEM" "Business tendency surveys (services) > Employment"
"BVEMFT" "Business tendency surveys (services) > Employment > Future tendency"
"BVEMFT02" "Business tendency surveys (services) > Employment > Future tendency > National indicator"
"BVEMTE" "Business tendency surveys (services) > Employment > Tendency"
"BVEMTE02" "Business tendency surveys (services) > Employment > Tendency > National indicator"
"CC" "Currency Conversions"
"CCEU" "Currency Conversions > EURO exchange rate"
"CCEUSP" "Currency Conversions > EURO exchange rate > Spot, end of period"
"CCEUSP01" "Currency Conversions > EURO exchange rate > Spot, end of period > EUR:national currency"
"CCEUSP02" "Currency Conversions > EURO exchange rate > Spot, end of period > National currency:EUR"
"CCRE" "Currency Conversions > Real effective exchange rates"
"CCRETT" "Currency Conversions > Real effective exchange rates > Overall Economy"
"CCRETT01" "Currency Conversions > Real effective exchange rates > Overall Economy > CPI"
"CCRETT02" "Currency Conversions > Real effective exchange rates > Overall Economy > ULC"
"CCUS" "Currency Conversions > US$ exchange rate"
"CCUSMA" "Currency Conversions > US$ exchange rate > Average of daily rates"
"CCUSMA02" "Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD"
"CCUSSP" "Currency Conversions > US$ exchange rate > Spot, end of period"
"CCUSSP01" "Currency Conversions > US$ exchange rate > Spot, end of period > USD:national currency"
"CCUSSP02" "Currency Conversions > US$ exchange rate > Spot, end of period > National currency:USD"
"CP" "Consumer Price Index"
"CP01" "Consumer Price Index > Food and non-Alcoholic beverages (COICOP 01)"
"CP0100" "Consumer Price Index > Food and non-Alcoholic beverages (COICOP 01) > Total"
"CP010000" "Consumer Price Index > Food and non-Alcoholic beverages (COICOP 01) > Total > Total"
"CP02" "Consumer Price Index > Alcoholic beverages, tobacco and narcotics (COICOP 02)"
"CP0200" "Consumer Price Index > Alcoholic beverages, tobacco and narcotics (COICOP 02) > Total"
"CP020000" "Consumer Price Index > Alcoholic beverages, tobacco and narcotics (COICOP 02) > Total > Total"
"CP03" "Consumer Price Index > Clothing and footwear (COICOP 03)"
"CP0300" "Consumer Price Index > Clothing and footwear (COICOP 03) > Total"
"CP030000" "Consumer Price Index > Clothing and footwear (COICOP 03) > Total > Total"
"CP04" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04)"
"CP0400" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Total"
"CP040000" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Total > Total"
"CP0401" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Actual rentals for housing"
"CP040100" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Actual rentals for housing > Total"
"CP0402" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Imputed rentals for housing"
"CP040200" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Imputed rentals for housing > Total"
"CP0403" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Maintenance and repairs of the dwellings"
"CP040300" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Maintenance and repairs of the dwellings > Total"
"CP0404" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Water supply and miscellaneous services relating to the dwelling"
"CP040400" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Water supply and miscellaneous services relating to the dwelling > Total"
"CP0405" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Electricity, gas and other fuels"
"CP040500" "Consumer Price Index > Housing, water, electricity, gas and other fuels (COICOP 04) > Electricity, gas and other fuels > Total"
"CP05" "Consumer Price Index > Furnishings, household equip. and routine household maintenance (COICOP 05)"
"CP0500" "Consumer Price Index > Furnishings, household equip. and routine household maintenance (COICOP 05) > Total"
"CP050000" "Consumer Price Index > Furnishings, household equip. and routine household maintenance (COICOP 05) > Total > Total"
"CP06" "Consumer Price Index > Health (COICOP 06)"
"CP0600" "Consumer Price Index > Health (COICOP 06) > Total"
"CP060000" "Consumer Price Index > Health (COICOP 06) > Total > Total"
"CP07" "Consumer Price Index > Transport (COICOP 07)"
"CP0700" "Consumer Price Index > Transport (COICOP 07) > Total"
"CP070000" "Consumer Price Index > Transport (COICOP 07) > Total > Total"
"CP0702" "Consumer Price Index > Transport (COICOP 07) > Fuels and lubricants for personal transport equipment"
"CP070200" "Consumer Price Index > Transport (COICOP 07) > Fuels and lubricants for personal transport equipment > Total"
"CP08" "Consumer Price Index > Communication (COICOP 08)"
"CP0800" "Consumer Price Index > Communication (COICOP 08) > Total"
"CP080000" "Consumer Price Index > Communication (COICOP 08) > Total > Total"
"CP09" "Consumer Price Index > Recreation and culture  (COICOP 09)"
"CP0900" "Consumer Price Index > Recreation and culture  (COICOP 09) > Total"
"CP090000" "Consumer Price Index > Recreation and culture  (COICOP 09) > Total > Total"
"CP10" "Consumer Price Index > Education (COICOP 10)"
"CP1000" "Consumer Price Index > Education (COICOP 10) > Total"
"CP100000" "Consumer Price Index > Education (COICOP 10) > Total > Total"
"CP11" "Consumer Price Index > Restaurants and hotels (COICOP 11)"
"CP1100" "Consumer Price Index > Restaurants and hotels (COICOP 11) > Total"
"CP110000" "Consumer Price Index > Restaurants and hotels (COICOP 11) > Total > Total"
"CP12" "Consumer Price Index > Miscellaneous goods and services (COICOP 12)"
"CP1200" "Consumer Price Index > Miscellaneous goods and services (COICOP 12) > Total"
"CP120000" "Consumer Price Index > Miscellaneous goods and services (COICOP 12) > Total > Total"
"CPAL" "Consumer Price Index > All items"
"CPALCY" "Consumer Price Index > All items > All items: City"
"CPALCY01" "Consumer Price Index > All items > All items: City > Total"
"CPALTT" "Consumer Price Index > All items > Total"
"CPALTT01" "Consumer Price Index > All items > Total > Total"
"CPALTT02" "Consumer Price Index > All items > Total > Special COICOP series"
"CPALWE" "Consumer Price Index > All items > All items: wage earners"
"CPALWE01" "Consumer Price Index > All items > All items: wage earners > Total"
"CPGR" "Consumer Price Index > OECD Groups"
"CPGREN" "Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline)"
"CPGREN01" "Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline) > Total"
"CPGRGO" "Consumer Price Index > OECD Groups > Goods"
"CPGRGO01" "Consumer Price Index > OECD Groups > Goods > Total"
"CPGRHO" "Consumer Price Index > OECD Groups > Housing"
"CPGRHO01" "Consumer Price Index > OECD Groups > Housing > Total"
"CPGRHO02" "Consumer Price Index > OECD Groups > Housing > Housing excluding imputed rentals for housing"
"CPGRLE" "Consumer Price Index > OECD Groups > All items non-food non-energy"
"CPGRLE01" "Consumer Price Index > OECD Groups > All items non-food non-energy > Total"
"CPGRLH" "Consumer Price Index > OECD Groups > Services less housing"
"CPGRLH01" "Consumer Price Index > OECD Groups > Services less housing > Total"
"CPGRLH02" "Consumer Price Index > OECD Groups > Services less housing > Housing excluding imputed rentals for housing"
"CPGRSE" "Consumer Price Index > OECD Groups > Services"
"CPGRSE01" "Consumer Price Index > OECD Groups > Services > Total"
"CPHP" "Consumer Price Index > Harmonised prices"
"CPHP01" "Consumer Price Index > Harmonised prices > Food and non-Alcoholic beverages (COICOP 01)"
"CPHP0100" "Consumer Price Index > Harmonised prices > Food and non-Alcoholic beverages (COICOP 01) > Total"
"CPHP02" "Consumer Price Index > Harmonised prices > Alcoholic beverages, tobacco and narcotics (COICOP 02)"
"CPHP0200" "Consumer Price Index > Harmonised prices > Alcoholic beverages, tobacco and narcotics (COICOP 02) > Total"
"CPHP03" "Consumer Price Index > Harmonised prices > Clothing and footwear (COICOP 03)"
"CPHP0300" "Consumer Price Index > Harmonised prices > Clothing and footwear (COICOP 03) > Total"
"CPHP04" "Consumer Price Index > Harmonised prices > Housing, water, electricity, gas and other fuels (COICOP 04)"
"CPHP0400" "Consumer Price Index > Harmonised prices > Housing, water, electricity, gas and other fuels (COICOP 04) > Total"
"CPHP0401" "Consumer Price Index > Harmonised prices > Housing, water, electricity, gas and other fuels (COICOP 04) > Actual rentals for housing"
"CPHP0403" "Consumer Price Index > Harmonised prices > Housing, water, electricity, gas and other fuels (COICOP 04) > Maintenance & repairs of the dwellings"
"CPHP0404" "Consumer Price Index > Harmonised prices > Housing, water, electricity, gas and other fuels (COICOP 04) > Water supply and miscellaneous services relating to the dwelling"
"CPHP0405" "Consumer Price Index > Harmonised prices > Housing, water, electricity, gas and other fuels (COICOP 04) > Electricity, gas and other fuels"
"CPHP05" "Consumer Price Index > Harmonised prices > Furnishings, household equip. and routine household maintenance (COICOP 05)"
"CPHP0500" "Consumer Price Index > Harmonised prices > Furnishings, household equip. and routine household maintenance (COICOP 05) > Total"
"CPHP06" "Consumer Price Index > Harmonised prices > Health (COICOP 06)"
"CPHP0600" "Consumer Price Index > Harmonised prices > Health (COICOP 06) > Total"
"CPHP07" "Consumer Price Index > Harmonised prices > Transport (COICOP 07)"
"CPHP0700" "Consumer Price Index > Harmonised prices > Transport (COICOP 07) > Total"
"CPHP0702" "Consumer Price Index > Harmonised prices > Transport (COICOP 07) > Fuels and lubricants for personal transport equipment"
"CPHP08" "Consumer Price Index > Harmonised prices > Communication (COICOP 08)"
"CPHP0800" "Consumer Price Index > Harmonised prices > Communication (COICOP 08) > Total"
"CPHP09" "Consumer Price Index > Harmonised prices > Recreation and culture  (COICOP 09)"
"CPHP0900" "Consumer Price Index > Harmonised prices > Recreation and culture  (COICOP 09) > Total"
"CPHP10" "Consumer Price Index > Harmonised prices > Education (COICOP 10)"
"CPHP1000" "Consumer Price Index > Harmonised prices > Education (COICOP 10) > Total"
"CPHP11" "Consumer Price Index > Harmonised prices > Restaurants and hotels (COICOP 11)"
"CPHP1100" "Consumer Price Index > Harmonised prices > Restaurants and hotels (COICOP 11) > Total"
"CPHP12" "Consumer Price Index > Harmonised prices > Miscellaneous goods and services (COICOP 12)"
"CPHP1200" "Consumer Price Index > Harmonised prices > Miscellaneous goods and services (COICOP 12) > Total"
"CPHPEN" "Consumer Price Index > Harmonised prices > Energy"
"CPHPEN01" "Consumer Price Index > Harmonised prices > Energy > Total"
"CPHPGD" "Consumer Price Index > Harmonised prices > Goods"
"CPHPGD01" "Consumer Price Index > Harmonised prices > Goods > Total"
"CPHPHO" "Consumer Price Index > Harmonised prices > Actual rentals for housing"
"CPHPHO01" "Consumer Price Index > Harmonised prices > Actual rentals for housing > Total"
"CPHPLA" "Consumer Price Index > Harmonised prices > All items less food, energy, tobacco, alcohol"
"CPHPLA01" "Consumer Price Index > Harmonised prices > All items less food, energy, tobacco, alcohol > Total"
"CPHPSE" "Consumer Price Index > Harmonised prices > Services"
"CPHPSE01" "Consumer Price Index > Harmonised prices > Services > Total"
"CPHPTT" "Consumer Price Index > Harmonised prices > All items"
"CPHPTT01" "Consumer Price Index > Harmonised prices > All items > Total"
"CPSD" "Consumer Price Index > Statistical discrepancy"
"CPSDCT" "Consumer Price Index > Statistical discrepancy > Contribution"
"CPSDCTGY" "Consumer Price Index > Statistical discrepancy > Contribution > Annual inflation"
"CS" "Consumer opinion surveys"
"CSCI" "Consumer opinion surveys > Confidence indicators"
"CSCICP" "Consumer opinion surveys > Confidence indicators > Composite indicators"
"CSCICP02" "Consumer opinion surveys > Confidence indicators > Composite indicators > National indicator"
"CSCICP03" "Consumer opinion surveys > Confidence indicators > Composite indicators > OECD Indicator"
"CSES" "Consumer opinion surveys > Economic Situation"
"CSESFT" "Consumer opinion surveys > Economic Situation > Future tendency"
"CSESFT02" "Consumer opinion surveys > Economic Situation > Future tendency > National indicator"
"CSIN" "Consumer opinion surveys > Consumer prices (inflation)"
"CSINFT" "Consumer opinion surveys > Consumer prices (inflation) > Future tendency"
"CSINFT02" "Consumer opinion surveys > Consumer prices (inflation) > Future tendency > National indicator"
"HO" "Hours"
"HOHW" "Hours > Hours worked"
"HOHWIN" "Hours > Hours worked > Industry excluding construction"
"HOHWIN03" "Hours > Hours worked > Industry excluding construction > Monthly"
"HOHWIS" "Hours > Hours worked > Industry and services"
"HOHWIS03" "Hours > Hours worked > Industry and services > Monthly"
"HOHWMN" "Hours > Hours worked > Manufacturing"
"HOHWMN02" "Hours > Hours worked > Manufacturing > Weekly"
"HOHWMN03" "Hours > Hours worked > Manufacturing > Monthly"
"HOOV" "Hours > Overtime hours"
"HOOVMN" "Hours > Overtime hours > Manufacturing"
"HOOVMN02" "Hours > Overtime hours > Manufacturing > Weekly"
"HOOVMN03" "Hours > Overtime hours > Manufacturing > Monthly"
"IR" "Interest Rates"
"IR3O" "Interest Rates > Other 3-month rates"
"IR3OBD" "Interest Rates > Other 3-month rates > Bank deposit rates"
"IR3OBD01" "Interest Rates > Other 3-month rates > Bank deposit rates > Total"
"IR3T" "Interest Rates > 3-month or 90-day rates and yields"
"IR3TBB" "Interest Rates > 3-month or 90-day rates and yields > Bank bills"
"IR3TBB01" "Interest Rates > 3-month or 90-day rates and yields > Bank bills > Total"
"IR3TCD" "Interest Rates > 3-month or 90-day rates and yields > Certificates of deposit"
"IR3TCD01" "Interest Rates > 3-month or 90-day rates and yields > Certificates of deposit > Total"
"IR3TCP" "Interest Rates > 3-month or 90-day rates and yields > Commercial/corporate paper"
"IR3TCP01" "Interest Rates > 3-month or 90-day rates and yields > Commercial/corporate paper > Total"
"IR3TED" "Interest Rates > 3-month or 90-day rates and yields > Eurodollar deposits"
"IR3TED01" "Interest Rates > 3-month or 90-day rates and yields > Eurodollar deposits > Total"
"IR3TIB" "Interest Rates > 3-month or 90-day rates and yields > Interbank rates"
"IR3TIB01" "Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total"
"IR3TTS" "Interest Rates > 3-month or 90-day rates and yields > Treasury securities"
